State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-02 14:30:00,1124.79333,24.91,0.0,25.9,34.0,16.6
SA1,2000-01-02 15:00:00,1131.03833,24.91,0.0,26.6,31.0,13.0
SA1,2000-01-02 15:30:00,1137.4,24.91,0.0,27.0,28.0,16.6
SA1,2000-01-02 16:00:00,1144.63333,24.91,0.0,26.3,28.0,22.3
SA1,2000-01-02 16:30:00,1157.71667,24.92,0.0,26.4,28.0,16.6
SA1,2000-01-02 17:00:00,1176.63333,24.93,0.0,26.4,28.0,16.6
SA1,2000-01-02 17:30:00,1187.35,27.8,0.0,27.0,28.0,13.0
SA1,2000-01-02 18:00:00,1197.7,36.39,0.0,26.7,29.0,18.4
SA1,2000-01-02 18:30:00,1192.825,29.15,0.0,25.7,29.0,16.6
SA1,2000-01-02 19:00:00,1181.61167,24.93,0.0,25.0,32.0,18.4
SA1,2000-01-02 19:30:00,1172.585,24.93,0.0,24.4,34.0,13.0
SA1,2000-01-02 20:00:00,1153.78333,24.92,0.0,23.6,36.0,14.8
SA1,2000-01-02 20:30:00,1178.18,24.92,0.0,22.3,39.0,13.0
SA1,2000-01-02 21:00:00,1219.31167,52.82,0.0,21.2,44.0,9.4
SA1,2000-01-02 21:30:00,1193.97333,28.98,0.0,20.7,48.0,5.4
SA1,2000-01-02 22:00:00,1189.945,24.92,0.0,20.5,47.0,9.4
SA1,2000-01-02 22:30:00,1176.07667,24.91,0.0,20.0,50.0,9.4
SA1,2000-01-02 23:00:00,1203.47,31.01,0.0,19.7,45.0,9.4
SA1,2000-01-02 23:30:00,1226.67167,34.94,0.0,19.3,51.0,7.6
SA1,2000-01-03 00:00:00,1291.30333,34.94,0.0,18.5,56.0,0.0
SA1,2000-01-03 00:30:00,1199.02333,27.52,0.0,17.7,61.0,0.0
SA1,2000-01-03 01:00:00,1237.90167,34.94,0.0,17.4,60.0,0.0
SA1,2000-01-03 01:30:00,1153.38,21.43,0.0,17.2,57.0,0.0
SA1,2000-01-03 02:00:00,1058.00333,9.45,0.0,17.1,56.0,0.0
SA1,2000-01-03 02:30:00,984.84833,5.23,0.0,16.8,58.0,7.6
SA1,2000-01-03 03:00:00,933.20333,5.02,0.0,17.1,52.0,7.6
SA1,2000-01-03 03:30:00,898.58167,6.44,0.0,16.5,57.0,0.0
SA1,2000-01-03 04:00:00,875.80833,4.98,0.0,15.9,64.0,0.0
SA1,2000-01-03 04:30:00,878.88667,5.05,0.0,15.9,63.0,1.8
SA1,2000-01-03 05:00:00,884.96,5.56,0.0,15.4,64.0,0.0
SA1,2000-01-03 05:30:00,894.14833,5.13,0.0,15.2,65.0,0.0
SA1,2000-01-03 06:00:00,895.97333,8.05,0.0,14.9,66.0,7.6
SA1,2000-01-03 06:30:00,913.90667,8.94,0.0,14.6,65.0,1.8
SA1,2000-01-03 07:00:00,936.71833,9.46,0.0,14.8,68.0,0.0
SA1,2000-01-03 07:30:00,977.64,11.41,0.0,16.4,58.0,0.0
SA1,2000-01-03 08:00:00,1005.22333,13.3,0.0,18.7,52.0,3.6
