Total Demand,predicted_demand,percentage_error,within_2_percent
4599.70167,4992.0,8.52877769353245,False
4478.99,4888.0,9.131746219571829,False
4228.81,4888.0,15.588073240462435,False
3989.1,4784.0,19.9268005314482,False
3783.93167,4784.0,26.429344322700203,False
3631.17167,4680.0,28.884019410737466,False
3518.08167,4680.0,33.02704254730959,False
3467.88,4680.0,34.9527665317139,False
3393.39667,4680.0,37.91491107934634,False
3376.70333,5200.0,53.996353597341354,False
3429.2,5200.0,51.6388662078619,False
3530.56833,5720.0,62.01357587094199,False
3462.615,5720.0,65.1930693998611,False
3494.16667,6032.0,72.63057460278505,False
3561.20333,6032.0,69.38094910744678,False
3626.165,6032.0,66.3465396638046,False
3668.91167,6032.0,64.40842796305314,False
3739.81167,6032.0,61.291544394801036,False
3763.12,6032.0,60.292523225408715,False
3788.46,6032.0,59.22036922654588,False
3817.395,6032.0,58.01351445160902,False
3767.77,6032.0,60.09469792476717,False
3723.31167,6032.0,62.006314126262765,False
3718.15333,6032.0,62.23107184232233,False
3724.93667,6032.0,61.935639029267044,False
3718.43667,6032.0,62.21871004730598,False
3694.44167,6032.0,63.27230306494458,False
3707.04167,6032.0,62.71735084110883,False
3734.84,6032.0,61.50624926369,False
3823.265,6188.0,61.851192632475126,False
3857.70333,6188.0,60.4063213435337,False
3957.37,6240.0,57.68047971253636,False
3938.97,6240.0,58.41704811156217,False
3939.78,6292.0,59.704348973800556,False
3931.095,6292.0,60.05718508456296,False
3910.88833,6240.0,59.55454294446704,False
3921.34,6240.0,59.1292772368629,False
4013.48,5980.0,48.99787715399105,False
4125.56333,5980.0,44.949901908304966,False
4132.46333,5720.0,38.41623126998203,False
4076.41833,5720.0,40.31925913746934,False
3962.30333,5408.0,36.48626946488723,False
3935.64,5408.0,37.41094205770853,False
3935.03333,5408.0,37.432126909074995,False
4355.33833,5408.0,24.169458036110836,False
4318.56167,5096.0,18.00225143016193,False
4176.185,5096.0,22.02524552911328,False
4051.70167,4992.0,23.20749173025861,False
4381.80167,4992.0,13.925740504818426,False
4266.53333,4888.0,14.56608027951348,False
4046.365,4888.0,20.79977955523044,False
3828.565,4784.0,24.95543369382523,False
3708.24167,4784.0,29.00993046658688,False
3599.26833,4680.0,30.026426787691047,False
3538.95333,4680.0,32.24248990025534,False
3502.02667,4680.0,33.63690345624923,False
3463.245,4680.0,35.133379244032696,False
3511.21167,5200.0,48.09702429588928,False
3587.63833,5200.0,44.94214638408102,False
3711.34667,5720.0,54.12195379743386,False
3707.33667,5720.0,54.288658116393826,False
