Total Demand,predicted_demand,percentage_error,within_5_percent
4599.70167,4492.8,2.3241000758207906,True
4478.99,4399.2,1.7814284023853586,True
4228.81,4399.2,4.029265916416188,True
3989.1,4305.6,7.934120478303389,False
3783.93167,4305.6,13.786409890430196,False
3631.17167,4212.0,15.99561746966372,False
3518.08167,4212.0,19.724338292578636,False
3467.88,4212.0,21.457489878542507,False
3393.39667,4212.0,24.123419971411707,False
3376.70333,4680.0,38.59671823760722,False
3429.2,4680.0,36.474979587075715,False
3530.56833,5148.0,45.8122182838478,False
3462.615,5148.0,48.673762459874986,False
3494.16667,5428.8,55.36751714250654,False
3561.20333,5428.8,52.442854196702115,False
3626.165,5428.8,49.711885697424144,False
3668.91167,5428.8,47.96758516674783,False
3739.81167,5428.8,45.16238995532093,False
3763.12,5428.8,44.26327090286784,False
3788.46,5428.8,43.29833230389129,False
3817.395,5428.8,42.21216300644812,False
3767.77,5428.8,44.08522813229046,False
3723.31167,5428.8,45.80568271363649,False
3718.15333,5428.8,46.007964658090096,False
3724.93667,5428.8,45.74207512634034,False
3718.43667,5428.8,45.99683904257539,False
3694.44167,5428.8,46.94507275845013,False
3707.04167,5428.8,46.44561575699795,False
3734.84,5428.8,45.35562433732101,False
3823.265,5569.2,45.66607336922761,False
3857.70333,5569.2,44.365689209180324,False
3957.37,5616.0,41.912431741282724,False
3938.97,5616.0,42.57534330040595,False
3939.78,5662.8,43.73391407642051,False
3931.095,5662.8,44.05146657610667,False
3910.88833,5616.0,43.59908865002033,False
3921.34,5616.0,43.21634951317661,False
4013.48,5382.0,34.09808943859194,False
4125.56333,5382.0,30.454911717474474,False
4132.46333,5148.0,24.574608142983827,False
4076.41833,5148.0,26.287333223722403,False
3962.30333,4867.2,22.8376425183985,False
3935.64,4867.2,23.669847851937675,False
3935.03333,4867.2,23.688914218167486,False
4355.33833,4867.2,11.752512232499749,False
4318.56167,4586.400000000001,6.20202628714575,False
4176.185,4586.400000000001,9.822720976201966,False
4051.70167,4492.8,10.886742557232756,False
4381.80167,4492.8,2.533166454336587,True
4266.53333,4399.2,3.1094722515621274,True
4046.365,4399.2,8.719801599707393,False
3828.565,4305.6,12.459890324442718,False
3708.24167,4305.6,16.1089374199282,False
3599.26833,4212.0,17.02378410892194,False
3538.95333,4212.0,19.01824091022981,False
3502.02667,4212.0,20.273213110624305,False
3463.245,4212.0,21.620041319629426,False
3511.21167,4680.0,33.28732186630035,False
3587.63833,4680.0,30.447931745672918,False
3711.34667,5148.0,38.70975841769047,False
3707.33667,5148.0,38.85979230475445,False
3769.35333,5428.8,44.02470463017061,False
3894.96,5428.8,39.380122003820325,False
3955.60667,5428.8,37.24317033776263,False
4021.06167,5428.8,35.009120613661224,False
4013.11667,5428.8,35.276406005908626,False
4075.255,5428.8,33.21374981442879,False
4095.69667,5428.8,32.54887843049179,False
4100.285,5428.8,32.40055264451131,False
4096.62167,5428.8,32.518949449388614,False
4096.26333,5428.8,32.53054217097905,False
4091.11833,5428.8,32.69721289141985,False
4082.39167,5428.8,32.98087099026439,False
4063.87667,5428.8,33.58673111504636,False
4065.61667,5428.8,33.52955875203061,False
